Model,Econ,Dipl,Govt,Scty
Llama-2-7b-chat-hf,61.14,58.54,57.86,64.44
Llama-2-7b-hf,60.64,57.9,50.4,60.86
Mistral-7B-Instruct-v0.2,69.62,59.8,59.38,68.66
Mixtral-8x7B-Instruct-v0.1,66.92,58.88,57.58,66.72
Qwen1.5-0.5B,63.98,55.76,55.54,62.22
Qwen1.5-1.8B,72.7,61.0,53.76,66.22
Qwen1.5-4B,63.32,57.1,52.34,59.1
Qwen1.5-7B,65.78,62.34,56.8,66.88
claude-2.1,50.0,50.0,50.16,50.0
claude-3-opus-20240229,53.83,54.0,52.92,55.22
claude-3-sonnet-20240229,54.0,53.17,51.58,53.52
distilgpt2,52.94,50.66,50.48,55.24
falcon-7b-instruct,55.52,58.24,57.42,62.22
gemini-pro,68.6,61.56,59.06,68.46
gemma-2b,58.72,55.88,49.54,56.76
gemma-2b-it,59.22,57.22,56.72,58.3
gemma-7b-it,59.12,59.46,62.82,71.18
gpt-3.5-turbo-0125,74.08,61.9,60.18,65.92
gpt-4-0125-preview,64.74,61.56,58.28,66.78
gpt2,53.46,52.56,52.12,55.76
gpt2-large,55.52,55.56,50.38,56.22
gpt2-medium,53.34,50.46,48.2,52.16
gpt2-xl,61.3,55.88,54.46,56.28
mistral-large-2402,64.24,63.0,56.96,64.48
mistral-medium-2312,68.98,64.76,59.78,68.34
mistral-small-2402,71.3,61.34,55.0,68.94
phi-2,60.26,55.42,53.06,56.8
zephyr-7b-beta,65.26,55.66,53.52,61.52
